x,y
24,82945
35,257251
36,279937
36,279937
42,444529
63,1500283
79,2958235
87,3951019
88,4088833
92,4672129
115,9125251
160,24576001
178,33838513
178,33838513
196,45177217
212,57168769
241,83985127
248,91517953
250,93750001
251,94879507
253,97165663
267,114204979
272,120741889
273,122078503
275,124781251
295,154034251
309,177021775
310,178746001
327,209794699
335,225572251
343,242121643
347,250691539
351,259461307
359,277609675
360,279936001
366,294167377
370,303918001
376,318944257
404,395635585
405,398580751
409,410507575
410,413526001
412,419607169
413,422669983
419,441360355
446,532299217
462,591666769
486,688747537
488,697285633
494,723322705
